"%s sale(s) order(s) was/were successfully deleted.","%s 订单已删除"
"%s invoice(s) order(s) was/were successfully deleted.","%s 发票已删除"
"%s shipment(s) order(s) was/were successfully deleted.","%s 配送单已删除"
"%s credit memo(s) order(s) was/were successfully deleted.","%s 退货单已删除"
"To be deleted, the sales orders must be cancelled, complete or closed.","要删除的订单必须是已取消，已完成或关闭状态"
"An error arose during the deletion. %s","删除过程中出现错误 %s"
"This feature was deactivated.","此功能已停用"
"Are you sure to delete the selected sales orders? Warning: invoices/shipments/credit memos associated will be also deleted!","确定删除已选订单吗？警告：相关联的发票、配送信息、付款通知都将删除！"
"Delete All !","删除已选订单"
"Allow to delete the orders","允许删除这些订单"
"Deletion of Orders","删除订单"
